N„–  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
1432|* alf For                          |** |03 12 04.5273570 -28 59 15.433684      | 4.41 | 4.36 | 3.85 | 3.39 | 3.08 |F6V+G7V              | 245 |   0
1433|* zet Cas                          |Pu*|00 36 58.2841866 +53 53 48.867311      | 2.58 | 3.47 | 3.66 | 3.74 | 3.95 |B2IV                 | 421 |   0
1434|* ups Cet                          |PM*|02 00 00.3091617 -21 04 40.194571      | 7.45 | 5.58 | 4.02 | 2.76 | 1.72 |M0III                |  93 |   0
1435|* 63 Aur                           |*  |07 11 39.3260802974 +39 19 13.984403315|     ~| 6.353| 4.886|     ~|     ~|K4III                | 101 |   0
1436|* alf Ara                          |Be*|17 31 50.4915282 -49 52 34.122041      | 2.09 | 2.78 | 2.95 | 3.05 | 3.29 |B2Vne                | 245 |   0
1437|* gam Scl                          |PM*|23 18 49.4407630 -32 31 55.288965      |     ~| 5.528| 4.406|     ~|     ~|K1III                |  71 |   0
1438|V* ET Vir                          |LP*|14 10 50.4870574246 -16 18 07.310535267| 8.76 | 6.63 | 4.91 |     ~|     ~|M2IIIa               |  93 |   0
1439|* pi. Pav                          |PM*|18 08 34.8145890 -63 40 06.790622      |     ~| 4.570| 4.328|     ~|     ~|kA4hF0mF2III         |  62 |   0
1440|* omi02 Eri                        |Fl*|04 15 16.3197260 -07 39 10.338087      | 5.69 | 5.25 | 4.43 | 3.74 | 3.29 |K0V                  | 744 |   0
1441|* del Mus                          |SB*|13 02 16.2647362 -71 32 55.875239      |     ~| 4.80 | 3.62 |     ~|     ~|K2III                |  58 |   0
1442|HD 102350                          |Ce*|11 46 30.8225717 -61 10 42.236355      |     ~| 5.01 | 4.10 |     ~|     ~|G5Ib/II              |  63 |   0
1443|* bet CMa                          |bC*|06 22 41.9853527 -17 57 21.307352      | 0.77 | 1.73 | 1.97 | 2.11 | 2.35 |B1II-III             | 684 |   0
1444|* mu. Peg                          |PM*|22 50 00.1931506 +24 36 05.698380      | 5.10 | 4.42 | 3.48 | 2.80 | 2.33 |G8+III               | 277 |   0
1445|* 7 And                            |PM*|23 12 33.0037993 +49 24 22.345507      | 4.85 | 4.81 | 4.52 | 4.23 | 4.07 |F1V                  | 134 |   0
1446|* kap Ret                          |PM*|03 29 22.6772397 -62 56 15.099119      |     ~| 5.10 | 4.71 |     ~|     ~|F3IV/V               | 154 |   0
1447|* chi Gem                          |SB*|08 03 31.0961924098 +27 47 39.703492909|     ~| 6.075| 4.937|     ~|     ~|K1-IIIb              | 100 |   0
1448|* iot Tel                          |*  |19 35 12.9858921948 -48 05 57.123766688|     ~| 5.977| 4.879|     ~|     ~|K0III                |  25 |   0
1449|* eps Hyi                          |PM*|02 39 35.3612092 -68 16 01.010320      | 3.91 | 4.047| 4.096|     ~|     ~|B9Va                 | 108 |   0
1450|* alf Gem                          |** |07 34 35.87319 +31 53 17.8160          | 1.63 | 1.62 | 1.58 | 1.51 | 1.52 |A1V+A2Vm             | 236 |   0
1451|* 15 Vul                           |a2*|20 01 06.0484585 +27 45 12.863884      |     ~| 4.829| 4.651|     ~|     ~|A4III                | 224 |   0
1452|* H Vel                            |SB*|08 56 19.2614940677 -52 43 24.505938723|     ~| 4.591| 4.723|     ~|     ~|B5/6IV               |  65 |   0
1453|* bet CrB                          |a2*|15 27 49.7315305 +29 06 20.522375      | 4.08 | 3.97 | 3.68 | 3.50 | 3.45 |F2VpSrCrEuSi         | 654 |   0
1454|* gam Cae A                        |PM*|05 04 24.4027993677 -35 28 58.694400499|     ~| 5.792| 4.574|     ~|     ~|K2III-IIIb           |   1 |   0
1455|* eps Lep                          |PM*|05 05 27.6653698 -22 22 15.723893      | 6.41 | 4.64 | 3.18 | 2.08 | 1.27 |K4III                | 142 |   0
1456|HD 93607                           |*  |10 46 51.2199905 -64 23 00.504309      | 4.06 | 4.70 | 4.85 |     ~|     ~|B4V                  |  81 |   0
1457|* nu. Cyg                          |** |20 57 10.4190684 +41 10 01.699109      | 3.96 | 3.96 | 3.94 | 3.89 | 3.89 |A0IIIn               | 149 |   0
1458|* ups Boo                          |PM*|13 49 28.6407858 +15 47 52.460283      | 7.46 | 5.59 | 4.07 | 2.87 | 2.00 |K5.5III              | 135 |   0
1459|* bet Tri                          |SB*|02 09 32.62712 +34 59 14.2694          | 3.26 | 3.14 | 3.00 | 2.86 | 2.78 |A5III                | 207 |   0
1460|* tet Lep                          |*  |06 06 09.3237046666 -14 56 06.912959454|     ~| 4.707| 4.663|     ~|     ~|A0V                  |  80 |   0
1461|* bet02 Sco                        |SB*|16 05 26.5721765504 -19 48 06.862525792| 4.19 | 4.87 | 4.89 | 5.58 |     ~|B2V                  | 198 |   0
1462|* pi. Sgr                          |** |19 09 45.8329260 -21 01 25.010335      | 3.46 | 3.22 | 2.88 | 2.54 | 2.30 |F2II-III             | 128 |   0
1463|* k Sco                            |s*b|17 04 49.3525354906 -34 07 22.541655837| 4.44 | 5.13 | 4.87 | 4.59 | 4.42 |B2Iab                | 142 |   0
1464|* eps Vir                          |PM*|13 02 10.5978496 +10 57 32.941443      | 4.45 | 3.71 | 2.79 | 2.16 | 1.71 |G8III-IIIb           | 516 |   0
1465|* eps01 Lyr A                      |PM*|18 44 20.3500662690 +39 40 12.262845991|     ~| 5.111| 4.991|     ~|     ~|A3V                  |  62 |   0
1466|* zet Cet                          |SB*|01 51 27.6397291164 -10 20 06.093532811| 5.92 | 4.86 | 3.72 | 2.92 | 2.37 |K0.5III              | 142 |   0
1467|* a Cen                            |Ro*|14 23 02.2390294 -39 30 42.549250      | 3.50 | 4.24 | 4.42 | 4.53 | 4.70 |B2V                  | 253 |   0
1468|* o Vir                            |a2*|13 34 07.9318557 +03 39 32.273821      | 4.96 | 4.96 | 4.94 | 4.86 | 4.89 |ApEuCrSr             | 319 |   0
1469|HD 64740                           |*  |07 53 03.6353775 -49 36 46.952967      | 3.48 | 4.40 | 4.63 | 4.76 | 4.97 |B2V                  | 187 |   0
1470|* omi02 Cyg                        |Al*|20 15 28.3216287393 +47 42 51.221859715| 6.54 | 5.50 | 3.98 | 2.78 | 1.86 |K7Ib-II+B1V          | 320 |   0
1471|* 139 Tau                          |Em*|05 57 59.6563212 +25 57 14.079839      | 3.82 | 4.76 | 4.82 | 4.76 | 4.87 |B0/1II/III           | 266 |   0
1472|* 27 Lyn                           |PM*|08 08 27.4463215 +51 30 24.005467      |     ~| 4.819| 4.797|     ~| 4.71 |A2V                  |  71 |   0
1473|* lam Sgr                          |PM*|18 27 58.2407185 -25 25 18.114589      | 4.75 | 3.85 | 2.81 | 2.06 | 1.50 |K1IIIb               | 259 |   0
1474|* zet Vir                          |PM*|13 34 41.5933793869 -00 35 45.009664548| 3.58 | 3.50 | 3.38 | 3.31 | 3.25 |A2Van                | 182 |   0
1475|* nu. Vir                          |LP*|11 45 51.5595736 +06 31 45.741287      | 7.32 | 5.54 | 4.04 | 2.79 | 1.78 |M1III                | 237 |   0
1476|* ome02 Aqr                        |PM*|23 42 43.3447268 -14 32 41.652314      |     ~| 4.448| 4.484|     ~|     ~|B9V                  | 131 |   0
1477|* del Nor                          |*  |16 06 29.4634642900 -45 10 23.665968742|     ~| 4.951| 4.713|     ~|     ~|kA3hA7mF0III:        |  70 |   0
1478|* 58 And                           |PM*|02 08 29.2599863 +37 51 32.686118      | 5.08 | 4.94 | 4.82 | 4.68 | 4.61 |A5IV-V               |  86 |   0
1479|HD 121474                          |PM*|13 57 38.8818149780 -63 41 12.106880536|     ~| 5.802| 4.701|     ~|     ~|K1.5IIIb:            |  43 |   0
1480|* eta Eri                          |PM*|02 56 25.6494839 -08 53 53.322099      | 5.97 | 4.99 | 3.87 | 3.08 | 2.50 |K1+IIIb              | 178 |   0
1481|* 15 Lyn                           |** |06 57 16.6052608 +58 25 21.940435      | 5.71 | 5.20 | 4.35 | 3.70 | 3.26 |G5III-IV             | 113 |   0
1482|* nu. Hya                          |PM*|10 49 37.4887449 -16 11 37.135989      | 5.62 | 4.35 | 3.11 | 2.17 | 1.53 |K1.5IIIHdel-0.5      | 155 |   0
1483|* omi Tau                          |SB*|03 24 48.7914590778 +09 01 43.994132248| 5.090| 4.490| 3.600| 2.92 | 2.47 |G6III                | 216 |   0
1484|* zet Dra                          |** |17 08 47.1959624 +65 42 52.863384      | 2.63 | 3.06 | 3.17 | 3.23 | 3.35 |B6III                | 209 |   0
1485|* iot Vir                          |PM*|14 16 00.8695049 -06 00 01.963348      | 4.64 | 4.60 | 4.08 |     ~|     ~|F7III                | 334 |   0
1486|* h Car                            |*  |09 34 26.6508147 -59 13 47.107031      | 3.58 | 4.09 | 4.09 | 4.00 | 4.01 |B5II                 |  69 |   0
1487|* pi.01 Boo                        |*  |14 40 43.5583584090 +16 25 05.960136146| 4.18 | 4.792| 4.893| 4.47 | 4.49 |B9IIIpHgMnSi         | 190 |   0
1488|* 15 Mon                           |Be*|06 40 58.65963 +09 53 44.7229          | 3.360| 4.400| 4.640|     ~| 4.88 |O7V+B1.5/2V          | 748 |   0
1489|* sig02 UMa                        |** |09 10 23.54597 +67 08 02.4642          |     ~| 5.29 | 4.80 |     ~|     ~|F7V                  | 157 |   0
1490|* bet01 Cap                        |SB*|20 21 00.6482842761 -14 46 53.378600257| 4.14 | 3.87 | 3.08 | 2.53 | 2.03 |G9II:+B8p:Si:        | 168 |   0
1491|* ups Ori                          |V* |05 31 55.8601879 -07 18 05.537157      | 3.30 | 4.36 | 4.63 | 4.75 | 5.01 |O9.7V                | 381 |   0
1492|* gam Phe                          |SB*|01 28 21.9272669 -43 19 05.650173      |     ~| 4.98 | 3.41 |     ~|     ~|M0III                | 133 |   0
1493|* lam Cru                          |Be*|12 54 39.1825757 -59 08 48.122859      | 3.86 | 4.451| 4.602|     ~|     ~|B3Vne                | 130 |   0
1494|* 89 Vir                           |PM*|13 49 52.2833980368 -18 08 03.010291899|     ~| 6.018| 4.959|     ~|     ~|K0+IIIb              |  99 |   0
1495|V* R Hor                           |Mi*|02 53 52.7746504509 -49 53 22.732999275|     ~|     ~| 3.92 | 4.99 | 1.51 |M5-7e                | 170 |   0
1496|* zet Ari                          |PM*|03 14 54.0914129194 +21 02 39.995191184|     ~| 4.858| 4.869|     ~|     ~|A1V                  |  84 |   0
1497|HD 173780                          |*  |18 46 04.4794953887 +26 39 43.664424332| 7.26 | 6.04 | 4.84 | 3.96 | 3.35 |K2III                | 109 |   0
1498|* bet Tau                          |PM*|05 26 17.51312 +28 36 26.8262          | 1.03 | 1.52 | 1.65 | 1.66 | 1.76 |B7III                | 347 |   1
1499|* lam Ori A                        |Em*|05 35 08.2792540686 +09 56 02.955355445| 2.17 | 3.48 | 3.47 |     ~|     ~|O8III((f))           | 485 |   0
1500|* gam UMi                          |dS*|15 20 43.7160391 +71 50 02.459561      |     ~| 3.067| 3.002|     ~|     ~|A2III                | 141 |   0
1501|* sig Her                          |** |16 34 06.1813704319 +42 26 13.134833754|     ~| 4.177| 4.196| 6.02 |     ~|B9V                  | 182 |   0
1502|* nu. Hyi                          |*  |02 50 28.4591503474 -75 04 00.996934312|     ~| 6.080| 4.742|     ~|     ~|K3III                |  42 |   0
1503|* 21 LMi                           |dS*|10 07 25.7629578 +35 14 40.896470      | 4.74 | 4.67 | 4.49 | 4.31 | 4.24 |A7V(n)               | 213 |   0
1504|* gam Cet                          |** |02 43 18.03910 +03 14 08.9390          | 3.63 | 3.56 | 3.47 | 3.36 | 3.32 |A2Vn+F4V             | 168 |   0
1505|* bet Mon                          |** |06 28 49.06971 -07 01 59.0101          | 2.85 | 3.59 | 3.74 | 3.75 | 3.91 |B4Ve+B2Vn(e)+B3V:nne | 219 |   0
1506|* chi01 Ori                        |RS*|05 54 22.9829893 +20 16 34.222038      | 5.08 | 5.00 | 4.40 | 3.90 | 3.59 |G0V                  | 800 |   0
1507|* del Cen                          |Be*|12 08 21.4976373 -50 43 20.738614      | 1.51 | 2.39 | 2.52 | 2.48 | 2.62 |B2Vne                | 293 |   0
1508|* ome Eri                          |SB*|04 52 53.6699535 -05 27 09.697201      |     ~| 4.64 | 4.40 |     ~|     ~|A9IVn                |  62 |   0
1509|* gam Aql                          |*  |19 46 15.5802908 +10 36 47.740788      | 5.93 | 4.23 | 2.72 | 1.65 | 0.87 |K3II                 | 418 |   0
1510|* phi Aqr                          |SB*|23 14 19.3596471948 -06 02 56.398606998| 7.64 | 5.77 | 4.22 | 2.94 | 1.86 |M1.5III              | 120 |   0
1511|* zet Sgr                          |** |19 02 36.73024 -29 52 48.2279          |     ~| 2.685| 2.585|     ~|     ~|A2.5Va               | 160 |   0
1512|* kap Leo                          |** |09 24 39.2587397 +26 10 56.364971      | 7.00 | 5.69 | 4.46 | 3.55 | 2.92 |K2IIIb               | 133 |   0
1513|* ups Per                          |PM*|01 37 59.5569926 +48 37 41.569533      | 6.29 | 4.85 | 3.57 | 2.61 | 1.96 |K3-IIICN0.5          | 217 |   0
1514|* iot CMa                          |bC*|06 56 08.2241266 -17 03 15.267468      | 3.62 | 4.297| 4.385| 6.40 |     ~|B3Ib/II              | 158 |   0
1515|HD 19275                           |PM*|03 11 56.2701604709 +74 23 37.167015930|     ~| 4.878| 4.834|     ~|     ~|A2Vnn                |  46 |   0
1516|ADS 2270 AB                        |** |03 00 52.4 +52 21 07                   |     ~| 4.96 | 5.00 |     ~|     ~|~                    |   1 |   0
1517|* eps Ind                          |PM*|22 03 21.6542294981 -56 47 09.537018193|     ~| 5.75 | 4.69 |     ~|     ~|K5V                  | 479 |   0
1518|HD 93194                           |*  |10 44 06.9154919 -63 57 39.853461      | 4.03 | 4.649| 4.789|     ~|     ~|B3/5Vn               |  79 |   0
1519|* pi. CMa                          |PM*|06 55 37.4315941360 -20 08 11.380998493|     ~| 5.027| 4.664|     ~|     ~|F1.5V                |  71 |   0
1520|* ups02 Hya                        |V* |10 05 07.4688801 -13 03 52.656113      | 4.22 | 4.500| 4.588|     ~|     ~|B8V                  |  75 |   0
1521|* ksi Peg                          |PM*|22 46 41.5811758 +12 10 22.385447      | 4.66 | 4.69 | 4.20 | 3.73 | 3.42 |F6V                  | 355 |   0
1522|* eta Nor                          |*  |16 03 12.8978280 -49 13 46.915070      |     ~| 5.569| 4.643|     ~|     ~|G8III                |  31 |   0
1523|* eps UMi                          |RS*|16 45 58.2360423451 +82 02 14.146856704|     ~| 5.109| 4.212|     ~|     ~|G5III                | 198 |   0
1524|* ups Sco                          |*  |17 30 45.8371228 -37 17 44.928511      | 1.64 | 2.47 | 2.70 |     ~|     ~|B2IV                 | 173 |   0
1525|* 11 Com                           |PM*|12 20 43.0255802451 +17 47 34.339258907|     ~| 5.74 | 4.74 |     ~|     ~|G8+IIIFe-1           | 145 |   1
1526|* ome01 Aqr                        |PM*|23 39 47.0654520800 -14 13 19.737433446|     ~| 5.221| 4.977|     ~|     ~|A7IV                 |  51 |   0
1527|* iot Cep                          |PM*|22 49 40.8169435 +66 12 01.463616      | 5.50 | 4.60 | 3.54 | 2.69 | 2.19 |K0-III               | 233 |   0
1528|* gam Vir A                        |PM*|12 41 39.6237654353 -01 26 57.821832451|     ~| 3.80 | 3.440|     ~|     ~|F1-F2V               | 374 |   0
1529|* h Cen                            |SB*|13 53 12.5382889763 -31 55 39.424782023| 4.04 | 4.59 | 4.73 |     ~|     ~|B5IVp                |  95 |   0
1530|* rho Peg                          |PM*|22 55 13.6670582219 +08 48 58.238700099| 4.90 | 4.90 | 4.90 | 4.86 | 4.88 |A1V                  | 111 |   0
1531|* tau Pup                          |SB*|06 49 56.1684595 -50 36 52.443676      |     ~| 4.13 | 2.93 |     ~|     ~|K1III                |  93 |   0
1532|* del Pav                          |PM*|20 08 43.6094697 -66 10 55.443275      | 4.78 | 4.32 | 3.56 | 2.95 | 2.61 |G8IV                 | 352 |   0
1533|HD 82741                           |*  |09 35 03.8300526863 +39 37 17.374250486|     ~| 5.788| 4.800|     ~|     ~|G9.5IIIbFe-1         |  93 |   0
1534|* psi Boo                          |PM*|15 04 26.7429936414 +26 56 51.531466661| 7.12 | 5.78 | 4.55 | 3.62 | 2.97 |K2III                | 112 |   0
1535|HD 101570                          |*  |11 40 53.6324330034 -62 05 24.360949010| 6.79 | 6.00 | 4.92 |     ~|     ~|G3Ib                 |  41 |   0
1536|* chi Cen                          |bC*|14 06 02.7682446 -41 10 46.678780      | 3.4  | 4.155| 4.343|     ~|     ~|B2V                  | 203 |   0
1537|* zet02 UMa                        |SB*|13 23 56.3230195273 +54 55 18.506044965|     ~| 4.05 | 3.88 |     ~|     ~|kA1h(eA)mA7IV-V      | 174 |   1
1538|* tet Pyx                          |*  |09 21 29.5906789101 -25 57 55.576659259| 8.36 | 6.33 | 4.72 | 3.32 | 2.24 |M0.5IIIBa0.5         |  62 |   0
1539|* g Gem                            |SB*|07 46 07.4501431556 +18 30 36.021692006| 8.09 | 6.33 | 4.87 | 3.72 | 2.89 |K4III                | 166 |   0
1540|* eps Sco                          |PM*|16 50 09.8108127 -34 17 35.633735      | 4.61 | 3.45 | 2.29 | 1.43 | 0.83 |K1III                | 200 |   0
1541|* lam Gru                          |PM*|22 06 06.8856828 -39 32 36.065850      |     ~| 5.843| 4.458|     ~|     ~|K3III                |  57 |   0
1542|* mu. Phe                          |*  |00 41 19.5522921 -46 05 06.018390      | 6.28 | 5.56 | 4.59 | 3.84 | 3.32 |G8III                |  58 |   0
1543|* ups Car                          |*  |09 47 06.12170 -65 04 19.2267          |     ~| 3.25 | 2.99 | 4.92 |     ~|A9                   |  63 |   0
1544|* 54 Leo A                         |PM*|10 55 36.8026567790 +24 44 59.048399623|     ~| 4.478| 4.477| 6.04 |     ~|A1V                  |  63 |   0
1545|* 57 Cyg                           |Al*|20 53 14.7550278 +44 23 14.140852      | 4.05 | 4.63 | 4.77 | 4.84 | 4.97 |B5V                  | 181 |   0
1546|* P Pup                            |** |07 49 14.2953578 -46 22 23.542204      | 2.92 | 3.93 | 4.11 | 4.19 | 4.36 |B0III                | 141 |   0
